CLIENTE;SOLICITANTE;SERVICIO;AP;ESTADO DE ENVÍO;MOTIVO POD;ULTIMA FECHA DE ACTUALIZACIÓN EN SAP;CENTRO STOCK;DESTINO ;VISITAS;RESPUESTA  SIN DEMORA;RESPUESTA CON DEMORA ;;TEXTOS UX;;TEXTOS UX + HC;TEXTOS UX + HC
 Gobierno de la Ciudad c/Distribucion;102002456;POSTAL;40040984;NO RESPONDE LLAMADO;05;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;1;Hola!, te visitamos por tu domicilio, pero no te encontramos. No te preocupes!, tendras una nueva visita dentro de las proximas 24 a 72 hs Habiles. ¡Que tengas un buen dia!;DERIVAR A ASESOR;;Visitamos tu domicilio y no te encontramos. No te preocupes, haremos otra visita dentro de las próximas 24 a 72 hs hábiles 😉;;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 😉;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 
Macro Premia;102004140 Direct Group ;PAQUETERIA;40040076;NO RESPONDE LLAMADO;05;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;1;Hola!, te visitamos por tu domicilio, pero no te encontramos. No te preocupes!, tendras una nueva visita dentro de las proximas 24 a 72 hs Habiles. ¡Que tengas un buen dia!;DERIVAR A ASESOR;;Visitamos tu domicilio y no te encontramos. No te preocupes, haremos otra visita dentro de las próximas 24 a 72 hs hábiles 😉;;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 😉;
Macro Premia;102004176 Ac-Eastway;PAQUETERIA;40040133;NO RESPONDE LLAMADO;05;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;1;Hola!, te visitamos por tu domicilio, pero no te encontramos. No te preocupes!, tendras una nueva visita dentro de las proximas 24 a 72 hs Habiles. ¡Que tengas un buen dia!;DERIVAR A ASESOR;;Visitamos tu domicilio y no te encontramos. No te preocupes, haremos otra visita dentro de las próximas 24 a 72 hs hábiles 😉;;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 😉;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 
Macro Premia;102004216 Lamoliant S.R.L Direct Sale;PAQUETERIA;40040932;NO RESPONDE LLAMADO;05;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;1;Hola!, te visitamos por tu domicilio, pero no te encontramos. No te preocupes!, tendras una nueva visita dentro de las proximas 24 a 72 hs Habiles. ¡Que tengas un buen dia!;DERIVAR A ASESOR;;Visitamos tu domicilio y no te encontramos. No te preocupes, haremos otra visita dentro de las próximas 24 a 72 hs hábiles 😉;;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 😉;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 
Macro Premia;102002628 Etercor;PAQUETERIA;40025753 - 40025755 - 40040016;NO RESPONDE LLAMADO;05;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;1;Hola!, te visitamos por tu domicilio, pero no te encontramos. No te preocupes!, tendras una nueva visita dentro de las proximas 24 a 72 hs Habiles. ¡Que tengas un buen dia!;DERIVAR A ASESOR;;Visitamos tu domicilio y no te encontramos. No te preocupes, haremos otra visita dentro de las próximas 24 a 72 hs hábiles 😉;;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 😉;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 
Macro Premia;102001628 Puntos y Premios;PAQUETERIA;40020414 - 40037922;NO RESPONDE LLAMADO;05;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;1;Hola!, te visitamos por tu domicilio, pero no te encontramos. No te preocupes!, tendras una nueva visita dentro de las proximas 24 a 72 hs Habiles. ¡Que tengas un buen dia!;DERIVAR A ASESOR;;Visitamos tu domicilio y no te encontramos. No te preocupes, haremos otra visita dentro de las próximas 24 a 72 hs hábiles 😉;;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 😉;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 
Macro Premia; 102004281 Compagno Victoria (yellow&co);PAQUETERIA;40040198;NO RESPONDE LLAMADO;05;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;1;Hola!, te visitamos por tu domicilio, pero no te encontramos. No te preocupes!, tendras una nueva visita dentro de las proximas 24 a 72 hs Habiles. ¡Que tengas un buen dia!;DERIVAR A ASESOR;;Visitamos tu domicilio y no te encontramos. No te preocupes, haremos otra visita dentro de las próximas 24 a 72 hs hábiles 😉;;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 😉;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 
Macro Premia;  102004506 NIMASA SRL;PAQUETERIA;40041486;NO RESPONDE LLAMADO;05;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;1;Hola!, te visitamos por tu domicilio, pero no te encontramos. No te preocupes!, tendras una nueva visita dentro de las proximas 24 a 72 hs Habiles. ¡Que tengas un buen dia!;DERIVAR A ASESOR;;Visitamos tu domicilio y no te encontramos. No te preocupes, haremos otra visita dentro de las próximas 24 a 72 hs hábiles 😉;;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 😉;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 
Macro Premia;102004431 TRIMAGE S.A;PAQUETERIA;40041558;NO RESPONDE LLAMADO;05;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;1;Hola!, te visitamos por tu domicilio, pero no te encontramos. No te preocupes!, tendras una nueva visita dentro de las proximas 24 a 72 hs Habiles. ¡Que tengas un buen dia!;DERIVAR A ASESOR;;Visitamos tu domicilio y no te encontramos. No te preocupes, haremos otra visita dentro de las próximas 24 a 72 hs hábiles 😉;;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 😉;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 
Macro Premia (MAM Direct Group);102004140 Direct Group ;PAQUETERIA;40040077 - 40040573 ;NO RESPONDE LLAMADO;05;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;1;Hola!, te visitamos por tu domicilio, pero no te encontramos. No te preocupes!, tendras una nueva visita dentro de las proximas 24 a 72 hs Habiles. ¡Que tengas un buen dia!;DERIVAR A ASESOR;;Visitamos tu domicilio y no te encontramos. No te preocupes, haremos otra visita dentro de las próximas 24 a 72 hs hábiles 😉;;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 😉;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 
Macro Premia (MAM AC Eastway);102004176 Ac-Eastway;PAQUETERIA;40040134 - 40040415;NO RESPONDE LLAMADO;05;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;1;Hola!, te visitamos por tu domicilio, pero no te encontramos. No te preocupes!, tendras una nueva visita dentro de las proximas 24 a 72 hs Habiles. ¡Que tengas un buen dia!;DERIVAR A ASESOR;;Visitamos tu domicilio y no te encontramos. No te preocupes, haremos otra visita dentro de las próximas 24 a 72 hs hábiles 😉;;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 😉;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 
Macro Premia (MAM Lamoliant S.R.L);102004216 Lamoliant S.R.L Direct Sale;PAQUETERIA;40040962;NO RESPONDE LLAMADO;05;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;1;Hola!, te visitamos por tu domicilio, pero no te encontramos. No te preocupes!, tendras una nueva visita dentro de las proximas 24 a 72 hs Habiles. ¡Que tengas un buen dia!;DERIVAR A ASESOR;;Visitamos tu domicilio y no te encontramos. No te preocupes, haremos otra visita dentro de las próximas 24 a 72 hs hábiles 😉;;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 😉;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 
Macro Premia (MAM Etercor);102002628 Etercor;PAQUETERIA;40040062 - 40040263;NO RESPONDE LLAMADO;05;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;1;Hola!, te visitamos por tu domicilio, pero no te encontramos. No te preocupes!, tendras una nueva visita dentro de las proximas 24 a 72 hs Habiles. ¡Que tengas un buen dia!;DERIVAR A ASESOR;;Visitamos tu domicilio y no te encontramos. No te preocupes, haremos otra visita dentro de las próximas 24 a 72 hs hábiles 😉;;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 😉;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 
Macro Premia (MAM Puntos y premios);102001628 Puntos y Premios;PAQUETERIA;40038713;NO RESPONDE LLAMADO;05;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;1;Hola!, te visitamos por tu domicilio, pero no te encontramos. No te preocupes!, tendras una nueva visita dentro de las proximas 24 a 72 hs Habiles. ¡Que tengas un buen dia!;DERIVAR A ASESOR;;Visitamos tu domicilio y no te encontramos. No te preocupes, haremos otra visita dentro de las próximas 24 a 72 hs hábiles 😉;;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 😉;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 
OCASA POSTAL 1 VISITA;102003502;POSTAL;40037750 - 40039390;NO RESPONDE LLAMADO;05;N/A;ULTIMA MILLA;REMITENTE;1;Hola!, te visitamos por tu domicilio, pero no te encontramos. Estaremos devolviendo el sobre al remitente, por favor contactate con ellos. Que tengas un buen dia!;N/A;;Visitamos a tu domicilio y no te encontramos 😔, por lo tanto, devolveremos tu pedido al remitente. Por favor, comunicate con él.;X;Visitamos tu domicilio y no te encontramos. Siguiendo nuestros protocolos de seguridad devolveremos el pedido al remitente. Por favor, comunicate con él para conocer más detalles.;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 
OCASA DISTRIBUCION POSTAL 2 VISITAS (Salvo Licencias de Conducir);102003502;POSTAL;40037567 - 40037570 - 40039211 ;NO RESPONDE LLAMADO;05;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;1;Hola!, te visitamos por tu domicilio, pero no te encontramos. No te preocupes!, tendras una nueva visita dentro de las proximas 24 a 72 hs Habiles. ¡Que tengas un buen dia!;DERIVAR A ASESOR;;Visitamos tu domicilio y no te encontramos. No te preocupes, haremos otra visita dentro de las próximas 24 a 72 hs hábiles 😉;;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 😉;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 
OCASA POSTAL 3 VISITAS;;POSTAL;40036841 - 40037569 - 40039213 - 40001009;NO RESPONDE LLAMADO;05;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;REMITENTE;1;Hola!, te visitamos por tu domicilio, pero no te encontramos. No te preocupes!, tendras una nueva visita dentro de las proximas 24 a 72 hs Habiles. ¡Que tengas un buen dia!;DERIVAR A ASESOR;;Visitamos tu domicilio y no te encontramos. No te preocupes, haremos otra visita dentro de las próximas 24 a 72 hs hábiles 😉;;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 😉;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 
 DHL Global Forwarding;102003111;PAQUETERIA;40038162 - 40038346 - 40039098 - 40040229 - 40040655 - ;NO RESPONDE LLAMADO;05;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;1;Hola!, te visitamos por tu domicilio, pero no te encontramos. No te preocupes!, tendras una nueva visita dentro de las proximas 24 a 72 hs Habiles. ¡Que tengas un buen dia!;DERIVAR A ASESOR;;Visitamos tu domicilio y no te encontramos. No te preocupes, haremos otra visita dentro de las próximas 24 a 72 hs hábiles 😉;;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 😉;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 
 A.C.A.R.A;102000421;PAQUETERIA;40015973 - 40024854 - 40031360 - 40033676 - 40041252;NO RESPONDE LLAMADO;05;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;1;Hola!, te visitamos por tu domicilio, pero no te encontramos. No te preocupes!, tendras una nueva visita dentro de las proximas 24 a 72 hs Habiles. ¡Que tengas un buen dia!;DERIVAR A ASESOR;;Visitamos tu domicilio y no te encontramos. No te preocupes, haremos otra visita dentro de las próximas 24 a 72 hs hábiles 😉;;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 😉;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 
ARCOR SAIC;102001674;PAQUETERIA;40026359 - 40036077 - 40036242 - 40036400 - 40036401 - 40036402;NO RESPONDE LLAMADO;05;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;1;Hola!, te visitamos por tu domicilio, pero no te encontramos. No te preocupes!, tendras una nueva visita dentro de las proximas 24 a 72 hs Habiles. ¡Que tengas un buen dia!;DERIVAR A ASESOR;;Visitamos tu domicilio y no te encontramos. No te preocupes, haremos otra visita dentro de las próximas 24 a 72 hs hábiles 😉;;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 😉;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 
BRIGHSTAR;102003470;PAQUETERIA;40038106 - 40039077 - 40039083 - 40040634 - 40040892 - ;NO RESPONDE LLAMADO;05;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;1;Hola!, te visitamos por tu domicilio, pero no te encontramos. No te preocupes!, tendras una nueva visita dentro de las proximas 24 a 72 hs Habiles. ¡Que tengas un buen dia!;DERIVAR A ASESOR;;Visitamos tu domicilio y no te encontramos. No te preocupes, haremos otra visita dentro de las próximas 24 a 72 hs hábiles 😉;;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 😉;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 
 CAP E HIJOS;102004275;PAQUETERIA;40041003;NO RESPONDE LLAMADO;05;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;1;Hola!, te visitamos por tu domicilio, pero no te encontramos. No te preocupes!, tendras una nueva visita dentro de las proximas 24 a 72 hs Habiles. ¡Que tengas un buen dia!;DERIVAR A ASESOR;;Visitamos tu domicilio y no te encontramos. No te preocupes, haremos otra visita dentro de las próximas 24 a 72 hs hábiles 😉;;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 😉;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 
 CARGILL;102003197;PAQUETERIA;40035941 - 40040824 - 40036561;NO RESPONDE LLAMADO;05;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;1;Hola!, te visitamos por tu domicilio, pero no te encontramos. No te preocupes!, tendras una nueva visita dentro de las proximas 24 a 72 hs Habiles. ¡Que tengas un buen dia!;DERIVAR A ASESOR;;Visitamos tu domicilio y no te encontramos. No te preocupes, haremos otra visita dentro de las próximas 24 a 72 hs hábiles 😉;;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 😉;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 
 Mercado Libre;102003501;ECOMMERCE;40036830;NO RESPONDE LLAMADO;05;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;"TODOS
EXCEPCIÓN: LA PLATA";2;Hola!, realizamos la segunda visita a tu domicilio y no te encontramos, no te preocupes!, dentro de los proximos dias te estara llegando una notificacion para que puedas retirar tu paquete por una sucursal de OCASA;DERIVAR A ASESOR;;Visitamos el domicilio y no te encontramos pero no te preocupes, dentro de las próximas 72 hs. hábiles te va a llegar una notificación para que retires tu pedido por la sucursal OCASA 🏣 más cercana. ;X;Visitamos el domicilio y no te encontramos pero no te preocupes, dentro de las próximas 72 hs. hábiles te va a llegar una notificación para que retires tu pedido por la sucursal OCASA 🏣 más cercana. ;Visitamos el domicilio y no te encontramos pero no te preocupes, dentro de las próximas 72 hs. hábiles te va a llegar una notificación para que retires tu pedido por la sucursal OCASA 🏣 más cercana. 
Brandlive (2 visitas);102003095;PAQUETERIA;"40035948 - 40036207 - 40036333 - 40036448 - 40036465 - 40036807 - 40036833 - 40036836 - 40036865 - 40036889 - 40037059 - 40037082 - 40037085 - 40037087 - 40037555 - 40037556 - 40037558 - 40037559 - 40037687 - 40037694 - 40037696 - 40037759 - 40038147 - 40038848 - 40039165 - 40039179 - 40039387 - 40039484 - 40040021 - 40041082 
";NO RESPONDE LLAMADO;05;N/A;ULTIMA MILLA;REMITENTE;2;Hola!, realizamos a segunda visita a tu domicilio y no te encontramos. Estaremos devolviendo el paquete al remitente, por favor comunicate con ellos ;N/A;;Realizamos la segunda visita a tu domicilio y no te encontramos 😔, por lo tanto, devolveremos tu pedido al remitente. Por favor, comunicate con él.;;Realizamos la segunda visita a tu domicilio y no te encontramos😔. Siguiendo nuestros protocolos de seguridad devolveremos el pedido al remitente. Por favor, comunicate con él para conocer más detalles.;Realizamos la segunda visita a tu domicilio y no te encontramos. Siguiendo nuestros protocolos de seguridad devolveremos el pedido al remitente. Por favor, comunicate con él para conocer más detalles.
 Topper (MAM);102002941;PAQUETERIA;40037391;NO RESPONDE LLAMADO;05;N/A;ULTIMA MILLA;REMITENTE;2;Hola!, realizamos a segunda visita a tu domicilio y no te encontramos. Estaremos devolviendo el paquete al remitente, por favor comunicate con ellos ;N/A;;Realizamos la segunda visita a tu domicilio y no te encontramos 😔, por lo tanto, devolveremos tu pedido al remitente. Por favor, comunicate con él.;;Realizamos la segunda visita a tu domicilio y no te encontramos😔. Siguiendo nuestros protocolos de seguridad devolveremos el pedido al remitente. Por favor, comunicate con él para conocer más detalles.;Realizamos la segunda visita a tu domicilio y no te encontramos. Siguiendo nuestros protocolos de seguridad devolveremos el pedido al remitente. Por favor, comunicate con él para conocer más detalles.
Brandlive (3 visitas);102003095;PAQUETERIA;40034583 - 40034609 - 40034671 - 40034673 - 40035196 - 40035626 - 40035776 - 40041646 ;NO RESPONDE LLAMADO;05;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;2;Hola!, te visitamos por tu domicilio, pero no te encontramos. No te preocupes!, tendras una nueva visita dentro de las proximas 24 a 72 hs Habiles. ¡Que tengas un buen dia!;DERIVAR A ASESOR;;Visitamos tu domicilio y no te encontramos. No te preocupes, dentro de las próximas 24 a 72 hs. hábiles haremos otra visita 😉. ;;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 😉;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles
 Topper (3 visitas);102002941;PAQUETERIA;40031939;NO RESPONDE LLAMADO;05;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;2;Hola!, te visitamos por tu domicilio, pero no te encontramos. No te preocupes!, tendras una nueva visita dentro de las proximas 24 a 72 hs Habiles. ¡Que tengas un buen dia!;DERIVAR A ASESOR;;Visitamos tu domicilio y no te encontramos. No te preocupes, dentro de las próximas 24 a 72 hs. hábiles haremos otra visita 😉. ;;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles 😉;Visitamos tu domicilio y no te encontramos. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs. hábiles
Brandlive (MAM);102003095;PAQUETERIA;40036601;NO RESPONDE LLAMADO;05;N/A;ULTIMA MILLA;CLIENTE FINAL;2;Hola!, realizamos a segunda visita a tu domicilio y no te encontramos. Estaremos devolviendo el paquete al remitente, por favor comunicate con ellos ;N/A;;Realizamos la segunda visita a tu domicilio y no te encontramos 😔, por lo tanto, devolveremos tu pedido al remitente. Por favor, comunicate con él.;X;Realizamos la segunda visita a tu domicilio y no te encontramos😔. Siguiendo nuestros protocolos de seguridad devolveremos el pedido al remitente. Por favor, comunicate con él para conocer más detalles.;Realizamos la segunda visita a tu domicilio y no te encontramos. Siguiendo nuestros protocolos de seguridad devolveremos el pedido al remitente. Por favor, comunicate con él para conocer más detalles.
 Officenet - ALOT;102001306;PAQUETERIA;40037368 - ;NO RESPONDE LLAMADO;05;N/A;ULTIMA MILLA;REMITENTE;2;Hola!, realizamos a segunda visita a tu domicilio y no te encontramos. Estaremos devolviendo el paquete al remitente, por favor comunicate con ellos ;N/A;;Realizamos la segunda visita a tu domicilio y no te encontramos 😔, por lo tanto, devolveremos tu pedido al remitente. Por favor, comunicate con él.;;Realizamos la segunda visita a tu domicilio y no te encontramos😔. Siguiendo nuestros protocolos de seguridad devolveremos el pedido al remitente. Por favor, comunicate con él para conocer más detalles.;Realizamos la segunda visita a tu domicilio y no te encontramos. Siguiendo nuestros protocolos de seguridad devolveremos el pedido al remitente. Por favor, comunicate con él para conocer más detalles.
GAX - Prune;102002806;PAQUETERIA;40037303;NO RESPONDE LLAMADO;05;N/A;ULTIMA MILLA;REMITENTE;2;Hola!, realizamos a segunda visita a tu domicilio y no te encontramos. Estaremos devolviendo el paquete al remitente, por favor comunicate con ellos ;N/A;;Realizamos la segunda visita a tu domicilio y no te encontramos 😔, por lo tanto, devolveremos tu pedido al remitente. Por favor, comunicate con él.;;Realizamos la segunda visita a tu domicilio y no te encontramos😔. Siguiendo nuestros protocolos de seguridad devolveremos el pedido al remitente. Por favor, comunicate con él para conocer más detalles.;Realizamos la segunda visita a tu domicilio y no te encontramos. Siguiendo nuestros protocolos de seguridad devolveremos el pedido al remitente. Por favor, comunicate con él para conocer más detalles.
SPP;102001254;PAQUETERIA;40021148 - 40040001 - 40041506;NO RESPONDE LLAMADO;05;N/A;ULTIMA MILLA;REMITENTE;2;Hola!, realizamos a segunda visita a tu domicilio y no te encontramos. Estaremos devolviendo el paquete al remitente, por favor comunicate con ellos ;N/A;;Realizamos la segunda visita a tu domicilio y no te encontramos 😔, por lo tanto, devolveremos tu pedido al remitente. Por favor, comunicate con él.;;Realizamos la segunda visita a tu domicilio y no te encontramos😔. Siguiendo nuestros protocolos de seguridad devolveremos el pedido al remitente. Por favor, comunicate con él para conocer más detalles.;Realizamos la segunda visita a tu domicilio y no te encontramos. Siguiendo nuestros protocolos de seguridad devolveremos el pedido al remitente. Por favor, comunicate con él para conocer más detalles.
 El auditor;102004520;PAQUETERIA;40041620;NO RESPONDE LLAMADO;05;N/A;ULTIMA MILLA;REMITENTE;2;Hola!, realizamos a segunda visita a tu domicilio y no te encontramos. Estaremos devolviendo el paquete al remitente, por favor comunicate con ellos ;N/A;;Realizamos la segunda visita a tu domicilio y no te encontramos 😔, por lo tanto, devolveremos tu pedido al remitente. Por favor, comunicate con él.;;Realizamos la segunda visita a tu domicilio y no te encontramos😔. Siguiendo nuestros protocolos de seguridad devolveremos el pedido al remitente. Por favor, comunicate con él para conocer más detalles.;Realizamos la segunda visita a tu domicilio y no te encontramos. Siguiendo nuestros protocolos de seguridad devolveremos el pedido al remitente. Por favor, comunicate con él para conocer más detalles.
 Puma;102003450;PAQUETERIA;40040115;NO RESPONDE LLAMADO;05;N/A;ULTIMA MILLA;REMITENTE;2;Hola!, realizamos a segunda visita a tu domicilio y no te encontramos. Estaremos devolviendo el paquete al remitente, por favor comunicate con ellos ;N/A;;Realizamos la segunda visita a tu domicilio y no te encontramos 😔, por lo tanto, devolveremos tu pedido al remitente. Por favor, comunicate con él.;;Realizamos la segunda visita a tu domicilio y no te encontramos😔. Siguiendo nuestros protocolos de seguridad devolveremos el pedido al remitente. Por favor, comunicate con él para conocer más detalles.;Realizamos la segunda visita a tu domicilio y no te encontramos. Siguiendo nuestros protocolos de seguridad devolveremos el pedido al remitente. Por favor, comunicate con él para conocer más detalles.
 Pickit;102003190;PAQUETERIA;40036896 - 40037606 - 40035570 - 40037273 - 40037314 - 40038562 - 40039029 - 40040169 - 40040170 - 40041213 - 40040944 - 40040278 - 40040213 - ;NO RESPONDE LLAMADO;05;N/A;ULTIMA MILLA;REMITENTE;2;Hola!, realizamos a segunda visita a tu domicilio y no te encontramos. Estaremos devolviendo el paquete al remitente, por favor comunicate con ellos ;N/A;;Realizamos la segunda visita a tu domicilio y no te encontramos 😔, por lo tanto, devolveremos tu pedido al remitente. Por favor, comunicate con él.;;Realizamos la segunda visita a tu domicilio y no te encontramos😔. Siguiendo nuestros protocolos de seguridad devolveremos el pedido al remitente. Por favor, comunicate con él para conocer más detalles.;Realizamos la segunda visita a tu domicilio y no te encontramos. Siguiendo nuestros protocolos de seguridad devolveremos el pedido al remitente. Por favor, comunicate con él para conocer más detalles.
 Argenpay;102003780;PAQUETERIA;40038331 - 40038332 - 40039419 - 40039935;NO RESPONDE LLAMADO;05;N/A;ULTIMA MILLA;REMITENTE;2;Hola!, realizamos a segunda visita a tu domicilio y no te encontramos. Estaremos devolviendo el paquete al remitente, por favor comunicate con ellos ;N/A;;Realizamos la segunda visita a tu domicilio y no te encontramos 😔, por lo tanto, devolveremos tu pedido al remitente. Por favor, comunicate con él.;;Realizamos la segunda visita a tu domicilio y no te encontramos😔. Siguiendo nuestros protocolos de seguridad devolveremos el pedido al remitente. Por favor, comunicate con él para conocer más detalles.;Realizamos la segunda visita a tu domicilio y no te encontramos. Siguiendo nuestros protocolos de seguridad devolveremos el pedido al remitente. Por favor, comunicate con él para conocer más detalles.
